Tên sản phẩm,Giá,Giá giảm,Danh mục,Đơn vị,Tồn kho,Mô tả,Hữu cơ,Mới
Cà rốt hữu cơ,35000,,Rau củ,kg,100,Cà rốt tươi ngon từ Đà Lạt giàu vitamin A,yes,no
Bông cải xanh,33000,28000,Rau củ,cái,80,Bông cải xanh giàu vitamin C và chất xơ,yes,no
Cà chua bi,25000,,Rau củ,hộp 250g,100,Cà chua bi ngọt tự nhiên hoàn hảo cho salad,yes,yes
Cà tím,22000,,Rau củ,kg,60,Cà tím mềm và dai tuyệt vời,yes,no
Dưa chuột,18000,,Rau củ,cái,120,Dưa chuột tươi giòn,yes,no
Táo Envy,99000,,Trái cây,0.5kg,150,Táo nhập khẩu New Zealand giòn ngọt,yes,yes
Cam Valencia,45000,40000,Trái cây,kg,200,Cam ngọt không hạt từ Brazil,yes,no
Chuối vàng,15000,,Trái cây,kg,300,Chuối tươi chín vàng từ Trung Quốc,yes,no
Dâu tây,65000,,Trái cây,500g,80,Dâu tây tươi ngon nhập khẩu,yes,yes
Nho xanh,75000,,Trái cây,500g,100,Nho xanh tự nhiên không hạt,yes,no
Trứng gà thả vườn,129000,,Trứng & Bơ sữa,vỉ 10 trứng,100,Trứng gà sạch tự nhiên giàu dinh dưỡng,yes,no
Sữa tươi không đường,35000,,Trứng & Bơ sữa,1L,150,Sữa tươi nguyên chất không đường,yes,no
Bơ giả mạn,22000,,Trứng & Bơ sữa,200g,80,Bơ giả mạn tự nhiên,yes,no
Bánh mì ngoại crust,18000,,Bánh mì & Bánh ngọt,cái,200,Bánh mì ngoại crust giòn tươi mỗi ngày,yes,no
Bánh croissant,25000,,Bánh mì & Bánh ngọt,cái,100,Bánh croissant bơ ngon lạ,yes,no
Cá hồi tươi,250000,,Thịt & Hải sản,kg,50,Cá hồi tươi từ Na Uy,yes,no
Tôm sú tươi,180000,,Thịt & Hải sản,kg,60,Tôm sú tươi sống,yes,no
Gà ta,120000,,Thịt & Hải sản,kg,80,Thịt gà ta sạch không hoá chất,yes,no
